,gain,cumulative_cost
"TNFRSF1B,CD96,TNFRSF1B,CD33,LILRB4,CD96,LILRB4,CD33",0.0,3.10077519379845
"ITGAX,SEMA4A,ITGAX,P2RY13,CR1,SEMA4A,CR1,P2RY13",0.0,3.10077519379845
"CR1,LTB4R,CR1,LILRB4,CD33,LTB4R,CD33,LILRB4",0.0,3.1162790697674416
"SEMA4A,LTB4R,SEMA4A,CD33,P2RY13,LTB4R,P2RY13,CD33",0.0,3.1162790697674416
"ITGAX,CD96,ITGAX,FUT3,SEMA4A,CD96,SEMA4A,FUT3",0.0,3.116279069767442
"P2RY13,CD96,P2RY13,CD38,LILRB4,CD96,LILRB4,CD38",0.0,3.116279069767442
"LTB4R,LILRB4,LTB4R,FUT3,P2RY13,LILRB4,P2RY13,FUT3",0.0,3.116279069767442
"EMC10,SEMA4A,EMC10,LILRB4,CD96,SEMA4A,CD96,LILRB4",0.0,3.131782945736434
"ITGAX,CD96,ITGAX,CD33,LTB4R,CD96,LTB4R,CD33",0.0,3.131782945736434
"CR1,CD33,CR1,CLEC12A,LILRB4,CD33,LILRB4,CLEC12A",0.0,3.131782945736434
"SEMA4A,CD33,SEMA4A,CLEC12A,P2RY13,CD33,P2RY13,CLEC12A",0.0,3.131782945736434
"P2RY13,FUT3,P2RY13,CLEC12A,LILRB4,FUT3,LILRB4,CLEC12A",0.0,3.131782945736434
"TNFRSF1B,CR1,TNFRSF1B,LILRB4,SEMA4A,CR1,SEMA4A,LILRB4",0.0,3.1317829457364343
"TNFRSF1B,LTB4R,TNFRSF1B,LILRB4,P2RY13,LTB4R,P2RY13,LILRB4",0.0,3.147286821705426
"ITGAX,CD96,ITGAX,CD33,CLEC12A,CD96,CLEC12A,CD33",0.0,3.147286821705426
"TNFRSF1B,ITGAX,TNFRSF1B,CD96,SEMA4A,ITGAX,SEMA4A,CD96",0.0,3.1472868217054266
"CR1,CD96,CR1,CD33,P2RY13,CD96,P2RY13,CD33",0.0,3.1627906976744184
"ITGAX,SEMA4A,ITGAX,LTB4R,CR1,SEMA4A,CR1,LTB4R",0.0,3.1627906976744184
"TNFRSF1B,LILRB4,TNFRSF1B,CLEC12A,P2RY13,LILRB4,P2RY13,CLEC12A",0.0,3.1627906976744184
"ITGAX,CR1,ITGAX,CLEC12A,SEMA4A,CR1,SEMA4A,CLEC12A",0.0,3.178294573643411
"LTB4R,CD96,LTB4R,CD38,LILRB4,CD96,LILRB4,CD38",0.0,3.178294573643411
